Abroad	36681.256333830104
Alabama	50555.87962962963
Alaska	88600.38965517242
Arizona	54791.02057613169
Arkansas	69177.00975609756
California	66392.73745624271
Colorado	30200.016736401674
Connecticut	59007.393162393164
Delaware	120334.2602739726
District-of-Columbia	42484.85344827586
Florida	65490.44994110719
Georgia	38712.08810572687
Idaho	52160.0
Illinois	91090.57222222222
Indiana	86950.88742964352
Iowa	74345.24867724867
Kansas	152286.04697986576
Kentucky	92659.7581967213
Louisiana	25109.9375
Maine	110260.125748503
Maryland	62294.36029411765
Massachusetts	75152.36423841059
Michigan	70976.84807256235
Minnesota	83110.34895833333
Mississippi	82254.5637254902
Missouri	120329.38285714286
Montana	69818.5796460177
Nebraska	71241.23033707865
Nevada	198366.4540229885
NewHampshire	142143.04958677685
NewJersey	130960.76
NewMexico	113864.22678185745
NewYork	56275.610256410255
NorthCarolina	59660.70812807882
NorthDakota	91333.14629258517
Ohio	52979.16587677725
Oklahoma	92593.07028753993
Oregon	93223.53389830509
Pennsylvania	147435.03015075377
SouthCarolina	73449.76842105263
SouthDakota	41344.55072463768
Tennessee	59271.67821782178
Texas	52725.196172248805
Utah	63026.7347130762
Vermont	74013.58638743455
Virginia	258010.7619047619
WestVirginia	165294.2380952381
Wisconsin	77059.6380952381
Wyoming	146624.0663900415
